Название,цена,конечная_цена,скидка,Мультиплеер,Одиночный,Кооператив,ММО,Русский,Англикий,количество_языков,недавние_оценки+,все_оценки,позитивная_оценка,негативная_оценка,жанр,дата_релиза,Издатель,ОС,Процессор,Оперативная память,Видеокарта,Место на диске 
RPG Maker MV - Katakura Hibiki's Lords of Darkness,289.0,115.0,60.0,0,1.0,0.0,0.0,1.0,1.0,8.0,,9.0,7.0,2.0,Дизайн и иллюстрация,2016-03-25,Degica,Windows 7/8/8.1/10,Intel Core2 Duo or better,,DirectX 9/OpenGL 4.1 capable GPU,250 MB
GATE : Japanese Audio with English Subtitles,82.0,82.0,0.0,0,0.0,0.0,0.0,1.0,1.0,3.0,,1.0,1.0,0.0,Sentai Filmworks,2015-07-03,,Windows 10,Для воспроизведения HD 1080p рекомендуется процессор Intel Core i3+ или аналогичный от AMD,2 GB ОЗУ,,500 MB
RPG Maker MV - Festival of Light: Japanese Resource Pack,249.0,112.0,55.0,0,0.0,0.0,0.0,1.0,1.0,10.0,,8.0,3.0,5.0,Дизайн и иллюстрация,2016-11-28,Degica,Windows 7/8/8.1/10,PC with 1.0GHz Intel® Pentium® III equivalent or higher processor,256 MB ОЗУ,1024x768 or better video resolution,250 MB
Moorhuhn (Crazy Chicken),114.0,114.0,0.0,0,1.0,0.0,0.0,1.0,1.0,6.0,173.0,239.0,209.0,30.0,Экшены,2015-02-05,Retroism,Windows XP or higher.,"Any, 1GHz Minimum Clock.",1 GB ОЗУ,Open GL Support Required,25 MB
RPG Maker MV - Call of Darkness: Japanese Resource Pack,249.0,112.0,55.0,0,0.0,0.0,0.0,1.0,1.0,10.0,,5.0,1.0,4.0,Дизайн и иллюстрация,2016-11-28,Degica,Windows 7/8/8.1/10,PC with 1.0GHz Intel® Pentium® III equivalent or higher processor,256 MB ОЗУ,1024x768 or better video resolution,250 MB
Risen 2: Dark Waters - Treasure Isle DLC,129.0,129.0,0.0,0,1.0,0.0,0.0,1.0,0.0,1.0,24.0,32.0,26.0,6.0,Экшены,2012-04-27,Deep Silver,,,,,
Risen 2: Dark Waters - Air Temple DLC,129.0,129.0,0.0,0,1.0,0.0,0.0,1.0,1.0,6.0,30.0,39.0,26.0,13.0,Ролевые игры,2012-05-25,Deep Silver,,,,,
LSD,39.0,39.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,127.0,175.0,110.0,65.0,Казуальные игры,2017-10-31,Tranquility games,Windows 10,2.5 Ghz or faster,2 GB ОЗУ,OpenGL 3.0+ Compatible Card,1 GB
Ascension: Valley of the Ancients,133.0,133.0,0.0,1,1.0,0.0,0.0,1.0,1.0,2.0,,2.0,2.0,0.0,Казуальные игры,2018-10-24,,Windows XP SP2+,1 GHz,1 GB ОЗУ,,1 GB
GATE : Japanese Audio with English Subtitles,82.0,82.0,0.0,0,0.0,0.0,0.0,1.0,1.0,3.0,,1.0,1.0,0.0,Sentai Filmworks,2015-07-03,,Windows 10,Для воспроизведения HD 1080p рекомендуется процессор Intel Core i3+ или аналогичный от AMD,2 GB ОЗУ,,500 MB
Dead Effect 2 - Cybermagic,102.0,102.0,0.0,1,1.0,1.0,0.0,1.0,1.0,4.0,,6.0,5.0,1.0,Экшены,2019-04-05,App Holdings,"Windows 7, Windows 8.1, Windows 10","Intel Core i7-3770 - AMD FX-8350, or faster",,"NVIDIA GeForce GTX 970 - AMD Radeon R9 290, or better",
Ascension: Gift of the Elements expansion,133.0,133.0,0.0,1,1.0,0.0,0.0,1.0,1.0,2.0,,5.0,1.0,4.0,Казуальные игры,2018-05-23,,Windows XP SP2+,1 GHz,1 GB ОЗУ,,1 GB
Tengami,129.0,129.0,0.0,0,1.0,0.0,0.0,1.0,1.0,15.0,537.0,1278.0,1024.0,254.0,Приключенческие игры,2015-01-15,Nyamyam,Windows Vista,Core 2 Duo,2 GB ОЗУ,Open GL 2.1 compatible graphics card,900 MB
Pembrey,30.0,30.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,17.0,20.0,14.0,6.0,Экшены,2017-09-25,Raster_Entertainment,Windows 10,Intel i5 or Higher,4 GB ОЗУ,NVIDIA 940M or Higher,1 GB
Counter Fight,189.0,56.0,70.0,0,1.0,0.0,0.0,1.0,1.0,5.0,123.0,125.0,106.0,19.0,,2016-11-14,"Tricol Co., Ltd.",Windows 7,i5-4950,8 GB ОЗУ,NVIDIA GTX 970 / AMD 290,1 GB
GATE : Japanese Audio with English Subtitles,82.0,82.0,0.0,0,0.0,0.0,0.0,1.0,1.0,3.0,,1.0,1.0,0.0,Sentai Filmworks,2015-07-03,,Windows 10,Для воспроизведения HD 1080p рекомендуется процессор Intel Core i3+ или аналогичный от AMD,2 GB ОЗУ,,500 MB
GATE : Japanese Audio with English Subtitles,82.0,82.0,0.0,0,0.0,0.0,0.0,1.0,1.0,3.0,,1.0,1.0,0.0,Sentai Filmworks,2015-07-03,,Windows 10,Для воспроизведения HD 1080p рекомендуется процессор Intel Core i3+ или аналогичный от AMD,2 GB ОЗУ,,500 MB
Kindred Spirits on the Roof Drama CD Vol.1,249.0,124.0,50.0,0,0.0,0.0,0.0,1.0,1.0,3.0,18.0,19.0,19.0,0.0,Liar-soft,2016-04-26,MangaGamer,Windows 10,Для воспроизведения HD 1080p рекомендуется процессор Intel Core i3+ или аналогичный от AMD,2 GB ОЗУ,,500 MB
Phantom Breaker: Battle Grounds - FM sound generator BGM,79.0,39.0,51.0,1,1.0,0.0,0.0,1.0,1.0,8.0,,9.0,7.0,2.0,Экшены,2016-11-17,Degica,Microsoft Windows Vista or newer,Intel Core i3 2.0 GHz or better,3 GB ОЗУ,nVidia Geforce 210 or better,3 GB
Kindred Spirits on the Roof Drama CD Vol.2,249.0,124.0,50.0,0,0.0,0.0,0.0,1.0,1.0,3.0,,7.0,7.0,0.0,Liar-soft,2016-05-27,MangaGamer,Windows 10,Для воспроизведения HD 1080p рекомендуется процессор Intel Core i3+ или аналогичный от AMD,2 GB ОЗУ,,500 MB
Umihara Kawase Shun: Steam Edition,279.0,139.0,50.0,0,1.0,0.0,0.0,1.0,1.0,3.0,27.0,30.0,25.0,5.0,Экшены,2015-11-24,Degica,Windows 7 / 8.1 / 10,Intel Core2 Duo 2Gｈz  or faster processer,2 GB ОЗУ,256MB VRAM,130 MB
GATE : Japanese Audio with English Subtitles,82.0,82.0,0.0,0,0.0,0.0,0.0,1.0,1.0,3.0,,1.0,1.0,0.0,Sentai Filmworks,2015-07-03,,Windows 10,Для воспроизведения HD 1080p рекомендуется процессор Intel Core i3+ или аналогичный от AMD,2 GB ОЗУ,,500 MB
When They Arrived,102.0,102.0,0.0,0,1.0,0.0,0.0,1.0,1.0,4.0,46.0,67.0,34.0,33.0,Экшены,2019-01-07,Second Reality,Windows 7 or higher,Intel Core i5-7500 3.4GHz,8 GB ОЗУ,GTX 670 2GB / AMD R9 280 better,5120 MB
GATE : Japanese Audio with English Subtitles,82.0,82.0,0.0,0,0.0,0.0,0.0,1.0,1.0,3.0,,1.0,1.0,0.0,Sentai Filmworks,2015-07-03,,Windows 10,Для воспроизведения HD 1080p рекомендуется процессор Intel Core i3+ или аналогичный от AMD,2 GB ОЗУ,,500 MB
Train Valley - Germany,69.0,69.0,0.0,0,1.0,0.0,0.0,1.0,1.0,12.0,39.0,40.0,35.0,5.0,Казуальные игры,2016-04-07,Sergey Dvoynikov,Windows XP (SP3)+,Intel Core 2 Duo E4500 @ 2.2GHz or AMD Athlon 64 X2 5600+ @ 2.8 GHz,2 GB ОЗУ,ATi Radeon HD 2400 or NVIDIA GeForce 7600 or better,1 GB
GATE : Japanese Audio with English Subtitles,82.0,82.0,0.0,0,0.0,0.0,0.0,1.0,1.0,3.0,,1.0,1.0,0.0,Sentai Filmworks,2015-07-03,,Windows 10,Для воспроизведения HD 1080p рекомендуется процессор Intel Core i3+ или аналогичный от AMD,2 GB ОЗУ,,500 MB
Trainz 2019 DLC: Victorian Railways Type 2 DD Class Pack,435.0,435.0,0.0,1,1.0,1.0,0.0,1.0,1.0,6.0,,,,,Симуляторы,2019-01-09,,Windows 10 64bit,"Intel i5 3330/AMD FX 8350 or better, Quad physical core, 64 bit, 2.3Ghz or better",8 GB ОЗУ,NVIDIA GTX 660 or better/ AMD HD 6950 or better,500 MB
BBTAG DLC Color Pack 1,82.0,49.0,40.0,1,1.0,0.0,0.0,1.0,1.0,10.0,,2.0,2.0,0.0,Экшены,2018-06-05,Arc System Works,Windows 7 / 8 / 8.1 / 10,Intel Core i5 / i7,8 GB ОЗУ,GeForce GTX 650 / Radeon R7 250 or better,20 GB
Techno Boy,49.0,49.0,0.0,0,1.0,0.0,0.0,1.0,1.0,11.0,,13.0,13.0,0.0,Экшены,2018-03-13,Arrible,"Windows 7, 8, 10",Intel Core 2 Duo @ 2.20GHz,2 GB ОЗУ,Graphics card with at least 512 mb,600 MB
How To Date A Magical Girl! Original Soundtrack,82.0,82.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,,1.0,1.0,0.0,Приключенческие игры,2019-01-31,Cafe Shiba,Windows 7/8/8.1/10 (32bit/64bit),Intel Core2 Duo or better,2 GB ОЗУ,DirectX 9/OpenGL 4.1 capable GPU,4 GB
How To Date A Magical Girl! Original Soundtrack,82.0,82.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,,1.0,1.0,0.0,Приключенческие игры,2019-01-31,Cafe Shiba,Windows 7/8/8.1/10 (32bit/64bit),Intel Core2 Duo or better,2 GB ОЗУ,DirectX 9/OpenGL 4.1 capable GPU,4 GB
Lucius Demake,129.0,129.0,0.0,0,1.0,0.0,0.0,1.0,1.0,6.0,183.0,264.0,252.0,12.0,Экшены,2016-08-08,Shiver Games,Windows 7,Intel I5,2 GB ОЗУ,Nvidia Geforce 440,500 MB
GATE : Japanese Audio with English Subtitles,82.0,82.0,0.0,0,0.0,0.0,0.0,1.0,1.0,3.0,,1.0,1.0,0.0,Sentai Filmworks,2015-07-03,,Windows 10,Для воспроизведения HD 1080p рекомендуется процессор Intel Core i3+ или аналогичный от AMD,2 GB ОЗУ,,500 MB
Final DOOM,109.0,109.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,569.0,658.0,576.0,82.0,Экшены,1996-06-17,id Software,,,,,
GATE : Japanese Audio with English Subtitles,82.0,82.0,0.0,0,0.0,0.0,0.0,1.0,1.0,3.0,,1.0,1.0,0.0,Sentai Filmworks,2015-07-03,,Windows 10,Для воспроизведения HD 1080p рекомендуется процессор Intel Core i3+ или аналогичный от AMD,2 GB ОЗУ,,500 MB
Ultimate Doom,109.0,109.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,46.0,3972.0,3715.0,257.0,Экшены,1995-04-30,id Software,,,,,
GATE : Japanese Audio with English Subtitles,82.0,82.0,0.0,0,0.0,0.0,0.0,1.0,1.0,3.0,,1.0,1.0,0.0,Sentai Filmworks,2015-07-03,,Windows 10,Для воспроизведения HD 1080p рекомендуется процессор Intel Core i3+ или аналогичный от AMD,2 GB ОЗУ,,500 MB
Wolfenstein 3D,109.0,109.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,13.0,1864.0,1777.0,87.0,Экшены,1994-08-03,Bethesda-Softworks,,,,,
GATE : Japanese Audio with English Subtitles,82.0,82.0,0.0,0,0.0,0.0,0.0,1.0,1.0,3.0,,1.0,1.0,0.0,Sentai Filmworks,2015-07-03,,Windows 10,Для воспроизведения HD 1080p рекомендуется процессор Intel Core i3+ или аналогичный от AMD,2 GB ОЗУ,,500 MB
DUNGEONS OF CHAOS,199.0,109.0,45.0,0,1.0,0.0,0.0,1.0,1.0,2.0,117.0,124.0,116.0,8.0,Приключенческие игры,2017-09-15,Volker Elzner,Windows 7+,,2 GB ОЗУ,,300 MB
Europa Universalis IV: Trade Nations Unit Pack,49.0,49.0,0.0,1,1.0,0.0,0.0,1.0,1.0,5.0,17.0,23.0,16.0,7.0,Симуляторы,2014-05-29,Paradox Interactive,,,,,
QUAKE II Mission Pack: The Reckoning,109.0,109.0,0.0,1,1.0,0.0,0.0,1.0,1.0,2.0,65.0,77.0,65.0,12.0,Экшены,1998-05-31,id Software,,,,,
MMA Simulator,259.0,103.0,60.0,0,1.0,0.0,0.0,1.0,1.0,2.0,11.0,15.0,6.0,9.0,Инди,2018-09-17,Zever Games,Windows 10,Intel Core i3,1 GB ОЗУ,Integrated graphics,200 MB
Europa Universalis IV: Muslim Ships Unit Pack,49.0,49.0,0.0,1,1.0,0.0,0.0,1.0,1.0,5.0,,14.0,8.0,6.0,Симуляторы,2014-05-29,Paradox Interactive,,,,,
QUAKE II Mission Pack: Ground Zero,109.0,109.0,0.0,1,1.0,0.0,0.0,1.0,1.0,2.0,74.0,87.0,54.0,33.0,Экшены,1998-09-01,id Software,,,,,
GATE : Japanese Audio with English Subtitles,82.0,82.0,0.0,0,0.0,0.0,0.0,1.0,1.0,3.0,,1.0,1.0,0.0,Sentai Filmworks,2015-07-03,,Windows 10,Для воспроизведения HD 1080p рекомендуется процессор Intel Core i3+ или аналогичный от AMD,2 GB ОЗУ,,500 MB
东方大战争 ~ Touhou Big Big Battle - Character Pack 2,102.0,102.0,0.0,1,1.0,0.0,0.0,1.0,0.0,2.0,,10.0,9.0,1.0,Казуальные игры,2018-12-20,,win7+,2core cpu,4 GB ОЗУ,,
Heretic: Shadow of the Serpent Riders,109.0,109.0,0.0,1,1.0,0.0,0.0,1.0,1.0,2.0,414.0,447.0,418.0,29.0,Экшены,2007-08-03,id Software,,,,,
东方大战争 ~ Touhou Big Big Battle - Character Pack 1,102.0,102.0,0.0,1,1.0,0.0,0.0,1.0,0.0,2.0,12.0,16.0,14.0,2.0,Казуальные игры,2018-09-25,,win10,i5,2 GB ОЗУ,独立显卡,4g MB
东方大战争 ~ Touhou Big Big Battle - Character Pack 1,102.0,102.0,0.0,1,1.0,0.0,0.0,1.0,0.0,2.0,12.0,16.0,14.0,2.0,Казуальные игры,2018-09-25,,win10,i5,2 GB ОЗУ,独立显卡,4g MB
DON'T DIE!,82.0,82.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,,11.0,11.0,0.0,Экшены,2018-05-21,Deklazon,Windows 7 or newer,2 GHz dual-core processor or later that's SSE2 capable,2048 MB ОЗУ,"A nVidia or AMD graphics card with latest drivers, at least 512 MB of dedicated video memory",200 MB
GATE : Japanese Audio with English Subtitles,82.0,82.0,0.0,0,0.0,0.0,0.0,1.0,1.0,3.0,,1.0,1.0,0.0,Sentai Filmworks,,,Windows 10,Для воспроизведения HD 1080p рекомендуется процессор Intel Core i3+ или аналогичный от AMD,2 GB ОЗУ,,500 MB
UBERMOSH Vol.7,259.0,155.0,40.0,0,1.0,0.0,0.0,1.0,1.0,2.0,12.0,52.0,51.0,1.0,Экшены,2019-04-30,Walter Machado,Windows 7,3.5 GHz,8 GB ОЗУ,1 GB,600 MB
The Sand Man,82.0,57.0,30.0,0,1.0,0.0,0.0,1.0,1.0,3.0,42.0,42.0,41.0,1.0,Приключенческие игры,2018-01-29,AGM PLAYISM,Windows 7 or Greater,Intel Core 2 1.06Ghz,1 GB ОЗУ,Integrated graphics,66 MB
Hearts of Iron III: Sounds of Conflict,99.0,99.0,0.0,1,1.0,1.0,0.0,1.0,1.0,2.0,,,,,Стратегии,2012-09-12,Paradox Interactive,Windows XP/Vista/7,"Intel Pentium IV с тактовой частотой 2,4 ГГц или AMD 3500+ (четырехъядерный)",2 ГБ,GeForce 8800 или ATI Radeon X1900,
Crusader Kings II: Early Western Clothing Pack,59.0,59.0,0.0,1,1.0,0.0,0.0,1.0,1.0,5.0,17.0,19.0,8.0,11.0,Симуляторы,2014-10-14,Paradox Interactive,XP/Vista/Windows 7,"Intel® Pentium® IV с тактовой частотой 2,4 ГГц или AMD 3500+",2 ГБ,NVIDIA® GeForce 8800 или ATI Radeon® X1900 с 512 МБ видеопамяти.,
Call of Duty®: Black Ops II - Comics Personalization Pack,89.0,89.0,0.0,1,1.0,1.0,0.0,1.0,1.0,8.0,29.0,32.0,30.0,2.0,Экшены,2014-05-29,Activision,Windows Vista® SP2/Windows® 7,Intel Core 2 Duo E8200 2.66 GHz or AMD Phenom X3 8750 2.4 GHz processor or better,2 GB ОЗУ,AMD Radeon HD 3870 512MB or Nvidia Geforce 8800 GT 512MB or better,16 GB
Call of Duty®: Black Ops II - Kawaii Personalization Pack,89.0,89.0,0.0,1,1.0,1.0,0.0,1.0,1.0,8.0,18.0,19.0,18.0,1.0,Экшены,2013-04-12,Activision,,,,,
Little King's Story,360.0,108.0,70.0,0,1.0,0.0,0.0,1.0,1.0,7.0,153.0,173.0,112.0,61.0,Ролевые игры,2016-08-05,XSEED Games,"Windows 7, Windows 8.1",Intel Core i5-3350 @ 3.7 GHz,4 GB ОЗУ,NVIDIA Geforce 650,5 GB
HITMAN™: Blood Money Requiem Pack,107.0,107.0,0.0,0,1.0,0.0,0.0,1.0,1.0,10.0,187.0,188.0,174.0,14.0,Экшены,2017-01-31,Feral Interactive (Linux),macOS 10.12.5,2.0Ghz Intel Core i5,8 GB ОЗУ,2GB AMD M290 or better (see notes for more details),68 GB
Tasty Planet,133.0,133.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,42.0,42.0,31.0,11.0,Экшены,2017-11-02,Dingo Games,Windows XP,1.4 GHz,512 MB ОЗУ,Any graphics card,30 MB
Trainz 2019 DLC: C&O 2-6-6-6 H8 - New River Mining Coal Run,419.0,419.0,0.0,1,1.0,1.0,0.0,1.0,1.0,6.0,,,,,Симуляторы,2019-01-07,,Windows 7 64bit,"Intel 'i' series/AMD K10 series introduced 2009 onwards. 2 physical cores, 2Ghz 64 bit",4 GB ОЗУ,NVIDIA GT 430 or better/ AMD ATI 5550 or better,100 MB
King's Bounty: Legions | Lord of Chaos Pack,89.0,89.0,0.0,1,1.0,0.0,0.0,1.0,1.0,6.0,,6.0,5.0,1.0,Приключенческие игры,2013-12-10,Nival,Windows 7,Dual Core 2 Gyz,4 GB ОЗУ,any graphic card with 1 GB VRAM,1 GB
The Big Secret of a Small Town,169.0,169.0,0.0,0,1.0,0.0,0.0,1.0,1.0,5.0,42.0,63.0,44.0,19.0,Приключенческие игры,2015-03-02,Buka Entertainment,Windows XP / Vista / 7 / 8,1.4 GHz,1024 MB ОЗУ,,350 MB
Four Seals,133.0,106.0,20.0,0,1.0,0.0,0.0,1.0,1.0,2.0,,2.0,1.0,1.0,Казуальные игры,2019-04-07,Game Kombinat,WIndows 7 SP1 or later,Intel i5 or comparable,4 MB ОЗУ,NVIDIA GeForce GTX 1060,350 MB
Europa Universalis IV: Native Americans Unit Pack,49.0,49.0,0.0,1,1.0,0.0,0.0,1.0,1.0,5.0,23.0,32.0,13.0,19.0,Симуляторы,2014-01-14,Paradox Interactive,XP/Vista/Windows 7/Windows 8,Intel® Pentium® IV 2.4 GHz eller AMD 3500+,2 GB ОЗУ,"NVIDIA® GeForce 8800 or ATI Radeon® X1900, 1024mb video memory required",2 GB
Europa Universalis IV: Native Americans II Unit Pack,49.0,49.0,0.0,1,1.0,0.0,0.0,1.0,1.0,5.0,14.0,18.0,9.0,9.0,Симуляторы,2014-02-25,Paradox Interactive,,,,,
Final Days,57.0,57.0,0.0,1,1.0,1.0,0.0,1.0,1.0,2.0,32.0,46.0,41.0,5.0,Экшены,2018-09-18,+7 Software,Windows 10,Dual-core 2GHz CPU,4 GB ОЗУ,Gaming graphics card released in the last 5 years,
RTK13 - Additional Scenario - “Campaign against Lu Bu” 追加シナリオ「呂布討伐戦」,79.0,79.0,0.0,0,1.0,0.0,0.0,1.0,1.0,5.0,,5.0,4.0,1.0,Симуляторы,2016-01-27,,"Windows® 10, Windows® 8, Windows® 8.1, Windows® 7, Windows® Vista",Core2 Duo 2.0GHz or over,1 GB ОЗУ,1024×768 over or 1280×720 over display,7 GB
RTK13 - Additional Scenario - “Thirteen Heroes” 追加シナリオ「英雄十三傑」,79.0,79.0,0.0,0,1.0,0.0,0.0,1.0,1.0,5.0,10.0,14.0,12.0,2.0,Симуляторы,2016-01-27,,"Windows® 10, Windows® 8, Windows® 8.1, Windows® 7, Windows® Vista",Core2 Duo 2.0GHz or over,1 GB ОЗУ,1024×768 over or 1280×720 over display,7 GB
Fate/EXTELLA LINK - Candy Pink,30.0,30.0,0.0,0,1.0,0.0,0.0,1.0,1.0,6.0,,1.0,1.0,0.0,Экшены,2019-04-16,XSEED Games,Windows 7+,Intel Core i5-760 @ 2.8 GHz,4 GB ОЗУ,NVIDIA GeForce GTX 750,14 GB
King Arthur: Fallen Champions,99.0,99.0,0.0,0,1.0,0.0,0.0,1.0,1.0,5.0,24.0,33.0,13.0,20.0,Ролевые игры,2011-09-16,Paradox Interactive,Windows XP (с пакетом обновлений 2) или Vista или Windows 7,AMD Athlon 6000+ или аналогичный Intel,"1,5 ГБ для XP, 2 ГБ для Vista и 7",Nvidia 9800 GT (с 512 МБ видеопамяти) или ATI 4850 (с 256 МБ видеопамяти),
Noel The Mortal Fate S8,82.0,65.0,21.0,0,1.0,0.0,0.0,1.0,1.0,4.0,70.0,73.0,73.0,0.0,Приключенческие игры,2018-10-22,KANAWO,Windows 2000 / XP / Vista / 7 / 8 / 10,Intel Core2 Duo or higher,2 GB ОЗУ,Open GL compliant video card,200 MB
Euro Truck Simulator 2 - Dutch Paint Jobs Pack,29.0,29.0,0.0,0,1.0,0.0,0.0,1.0,1.0,24.0,54.0,58.0,54.0,4.0,Инди,2018-07-26,SCS Software,,,,,
RPG Maker MV - POP! Horror City,349.0,104.0,70.0,0,0.0,0.0,0.0,1.0,1.0,8.0,23.0,25.0,15.0,10.0,Дизайн и иллюстрация,2016-03-25,Degica,Windows 7/8/8.1/10,Intel Core2 Duo or better,,DirectX 9/OpenGL 4.1 capable GPU,250 MB
Winged Sakura: Endless Dream,63.0,63.0,0.0,0,0.0,0.0,0.0,1.0,1.0,2.0,18.0,19.0,13.0,6.0,Экшены,2017-10-06,WINGED SAKURA GAMES,,,,,
Treasure of a Blizzard,349.0,104.0,70.0,0,0.0,0.0,0.0,1.0,1.0,2.0,96.0,122.0,102.0,20.0,Приключенческие игры,2016-10-06,Flaming Firefly,Windows 7,1.2 Ghz  AMD or Intel,1 GB ОЗУ,,1 GB
Kold War Pack,99.0,99.0,0.0,1,1.0,0.0,0.0,1.0,1.0,8.0,47.0,59.0,54.0,5.0,Экшены,2015-05-19,,,,,,
Offworld Trading Company - Market Corrections DLC,102.0,102.0,0.0,1,1.0,1.0,0.0,1.0,1.0,2.0,,2.0,2.0,0.0,Инди,2019-02-28,Stardock Entertainment,Windows 10 / 8.1 / 7,3 GHz Intel Quad-Core Processor / 3.2 GHz AMD Six-Core Processor,4 GB ОЗУ,Nvidia GeForce GTX 460 / AMD Radeon HD 7850,2 GB
Clash of Castle,30.0,15.0,50.0,1,1.0,0.0,0.0,1.0,1.0,2.0,22.0,35.0,17.0,18.0,Экшены,2018-02-07,RewindApp,,,,,
Planet Defender,169.0,169.0,0.0,0,1.0,0.0,0.0,1.0,1.0,6.0,,8.0,5.0,3.0,,2017-03-30,Fevolution Innovation Inc.,Windows 7 or higher,Intel i7,16 GB ОЗУ,NVIDIA GeForce GTX 980 Ti,2 GB
DRAGON BALL FIGHTERZ - Cooler,169.0,84.0,50.0,1,1.0,0.0,0.0,1.0,1.0,12.0,27.0,31.0,28.0,3.0,Экшены,2018-09-27,,Windows 7/8/10 (64-bit OS required),"AMD Ryzen 5 1400, 3.2 GHz / Intel Core i7-3770, 3.40 GHz",8 GB ОЗУ,"Radeon HD 7870, 2 GB / GeForce GTX 660, 2 GB",
OnsenVR,205.0,51.0,75.0,0,1.0,0.0,0.0,1.0,1.0,3.0,10.0,10.0,10.0,0.0,,2017-12-01,qUATERNIon,,,,,
Escape Bloody Mary,102.0,102.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,41.0,50.0,45.0,5.0,,2016-10-25,Well Told Entertainment,"Windows™ 7 SP1, Windows™ 8.1 or later or Windows™ 10","Intel™ Core™ i5-4590 or AMD FX™ 8350, equivalent or better",,"NVIDIA GeForce™ GTX 1060 or AMD Radeon™ RX 480, equivalent or better",300 MB
The Experiment: Escape Room,102.0,102.0,0.0,1,1.0,1.0,0.0,1.0,1.0,10.0,48.0,57.0,36.0,21.0,,2018-11-22,OnSkull Games,Windows 7+ (64bit),Intel i5 4650 / AMD FX-8320 or equivalent,8 GB ОЗУ,Nvidia 970/AMD 390 or equivalent,3 GB
ClickRaid - Supporter Pack,133.0,133.0,0.0,1,1.0,1.0,0.0,1.0,1.0,2.0,,8.0,6.0,2.0,Инди,2017-07-27,,Ubunto 16.x,Intel I5+,4 GB ОЗУ,,
Samurai Pack,99.0,99.0,0.0,1,1.0,0.0,0.0,1.0,1.0,8.0,30.0,51.0,42.0,9.0,Экшены,2015-04-22,,,,,,
Trench Run,102.0,102.0,0.0,1,1.0,0.0,0.0,1.0,1.0,2.0,44.0,88.0,47.0,41.0,Экшены,2016-04-07,Transhuman Design,"7, 8.1, or 10",Intel 3GHz,2 GB ОЗУ,"OpenGL 3.2 Compliant, 512MB VRAM",1 GB
gRally,102.0,102.0,0.0,0,1.0,0.0,0.0,1.0,1.0,4.0,73.0,76.0,35.0,41.0,,2018-05-21,ghiboz,Windows 10 64 bits,3.0 GHz Intel i5 or 4.0 GHz AMD FX or better,8 GB ОЗУ,NVIDIA GeForce GTX 970,4 GB
Live Wallpaper Master,102.0,102.0,0.0,0,0.0,0.0,0.0,1.0,1.0,4.0,203.0,237.0,162.0,75.0,Анимация и моделирование,2017-12-07,DesktopPaints LLC,Microsoft® Windows® 7,2.6 GHz Pentium IV or equivalent AMD Athlon processor,1 MB ОЗУ,HD Graphics 4000 or above,60 MB
Squirm,61.0,61.0,0.0,0,1.0,0.0,0.0,1.0,1.0,3.0,113.0,125.0,121.0,4.0,Приключенческие игры,2018-03-22,Alex Carpenter,"Windows 7, Windows 8, Windows 10",Intel Dual Core or Equivalent,4 GB ОЗУ,DirectX 9 compatible video card,150 MB
I Want Toilet!!!!!!,99.0,99.0,0.0,0,1.0,0.0,0.0,1.0,1.0,3.0,,12.0,6.0,6.0,Казуальные игры,2017-08-11,JunkGameStudio,,,,,
Euro Truck Simulator 2 - Romanian Paint Jobs Pack,29.0,29.0,0.0,0,1.0,0.0,0.0,1.0,1.0,23.0,90.0,96.0,92.0,4.0,Инди,2017-01-20,SCS Software,,,,,
Fabula Mortis,195.0,19.0,90.0,1,0.0,0.0,0.0,1.0,1.0,2.0,33.0,71.0,32.0,39.0,Экшены,2014-10-27,Deadghost Interactive,Windows 7 64 bit,Intel Core 2 Duo processor,4 GB ОЗУ,AMD Radeon HD 6950 / NVIDIA GeForce GTX 560,2 GB
OSIRIS,102.0,102.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,,7.0,6.0,1.0,Экшены,2019-04-23,Azat Khafizov Design,"Windows 7, 8, 10",QuadCore AMD A8-5600K 3.6GHz,8 GB ОЗУ,Radeon HD 7950 3GB,1100 MB
The Vagrant,102.0,102.0,0.0,0,1.0,0.0,0.0,1.0,1.0,9.0,50.0,3086.0,2779.0,307.0,Экшены,2018-07-13,SakuraGame,Windows 10 64-bit,3.0 GHz or better,8 GB ОЗУ,Nvidia GTX 750 / AMD R7 260X  or better ; 2G or higher,1200 MB
hack_me,99.0,99.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,1439.0,2067.0,1277.0,790.0,Инди,2016-11-02,Eugene Radaev,Microsoft® Windows® Vista / 7,Intel® Pentium® III or higher,512 MB ОЗУ,256 MB or higher,200 MB
